# TI's operand text per instruction, and the template derived from it by
# probing each operand independently. `{N}` is our operand N, and
# `{N:@AH|AL}` the registers TI marks with `@` when N is register-direct.
#
# Regenerate: nix develop -c python3 scripts/probe_operands.py
#
# name	mnemonic	template	probed_text
MOVL_XAR1_CONST22	MOVL	XAR1, {0}	XAR1, #0x000001
MOVL_XAR1_LOC32	MOVL	XAR1, {0}	XAR1, @0x1
MOVL_XAR2_CONST22	MOVL	XAR2, {0}	XAR2, #0x000001
MOVL_XAR2_LOC32	MOVL	XAR2, {0}	XAR2, @0x1
MOVL_XAR3_CONST22	MOVL	XAR3, {0}	XAR3, #0x000001
MOVL_XAR3_LOC32	MOVL	XAR3, {0}	XAR3, @0x1
MOVL_XAR4_CONST22	MOVL	XAR4, {0}	XAR4, #0x000001
MOVL_XAR4_LOC32	MOVL	XAR4, {0}	XAR4, @0x1
MOVL_XAR5_CONST22	MOVL	XAR5, {0}	XAR5, #0x000001
MOVL_XAR5_LOC32	MOVL	XAR5, {0}	XAR5, @0x1
MOVL_XAR6_CONST22	MOVL	XAR6, {0}	XAR6, #0x000001
MOVL_XAR6_LOC32	MOVL	XAR6, {0:@XAR6|XAR7}	XAR6, @0x1
MOVL_XAR7_CONST22	MOVL	XAR7, {0}	XAR7, #0x000001
MOVL_XAR7_LOC32	MOVL	XAR7, {0:@XAR6|XAR7}	XAR7, @0x1
MOVL_XT_LOC32	MOVL	XT, {0}	XT, @0x1
MOVP_T_LOC16	MOVP	T, {0}	T, @0x1
MOVST0	MOVST0	{0}	LVF
MOVS_T_LOC16	MOVS	T, {0}	T, @0x1
MOVU_ACC_LOC16	MOVU	ACC, {0}	ACC, @0x1
MOVU_LOC16_OVC	MOVU	{0}, OVC	@0x1, OVC
MOVW_DP_CONST16	MOVW	DP, {0}	DP, #0x1
MOVXI	MOVXI	{0}, {1}	R1H, #0x1
MOVX_TL_LOC16	MOVX	TL, {0}	TL, @0x1
MOVZ_AR0_LOC16	MOVZ	AR0, {0:@AR0|AR1|AR2|AR3|AR4|AR5}	AR0, @0x1
MOVZ_AR1_LOC16	MOVZ	AR1, {0:@AR0|AR1|AR2|AR3|AR4|AR5}	AR1, @0x1
